NPC1, NPC2,NPC3,NPC4,NPC5,NPC6,NPC7,,,,,,,,,,,,
Did the cops show up in time ?,Lucky you ! I can't buy anything else . I'm flat broke .,"Yes . I caught a number 7 bus yesterday , and they said I had taken a wrong bus .","Cloudy in the morning , overcast in the afternoon .","May , I really regret watching it with you last night .",Let me explain . I didn't mean to hurt you ...,,,,,,,,,,,,,
hello ! What are you reading about in the newspaper ?,Why did you drag me into this ? I've spent a week salary .,But number 13 buses leave from the center of town.You ' ll have to walk two miles to catch one .,"No , but I wouldn't be surprised if it rained tomorrow .",Of course not . I just thought the movie was ... boring .,"Hang on one second . Hear me out , just this once , Isabella !",,,,,,,,,,,,,
people are starting to get frightened by it . Everyone will be relieved when they finally catch the murder .,"Just joking , Tonia . I've got some wonderful clothes . Let's go and have a close look at your outfit .","Good morning , Passport , please .","Oh , yes , I am . I have always wanted to go to the States . I love meeting new people . And making new friends .","Well , I admit . The ghosts were scary .",I didn't lie . You just didn't ask me my real name .,,,,,,,,,,,,,
there must have been some good news in the newspaper . I can ?t believe that none of the news stories make you happy or excited .,"We have thought of you carefully with discretion , but the other candidate has more experiences .","Ah , thank you.Please bring your luggage here for inspection .","Well , there's one thing .",That's Gucci's influence . I love science fiction movies !,"I'm sorry . It was cruel of me . But I promise it will never happen again ? Look , there's a nice restaurant . Let me take you to dinner and we can talk things over .",,,,,,,,,,,,,
yes . Her parents were raising money to have her treated in the united states .,"Yes , I think so . But how do you prove to me that you are more capable ?",It's just a regular inspection . Do you have anything to declare ?,"I'm a little worried about my host family . You know , in the agreement I have to do some cooking for them .",Don't call me kid . I am a grownup .,"Well , I swim and run every day .",,,,,,,,,,,,,
I ?m so happy for the family ! They must be very relieved and excited about that .,Good idea .,"Well , the cigarettes and the champagne are not in excess of the duty-free allowance . But according to our law , each passenger is allowed only one camera duty-free.You ' ll have to pay duty for the other one .",Swimming in summer and skating in winter.What ' s your favorite sport ?,Of course ! I can watch them without you !,"Well , I don't eat any meat , but I do eat fish and eggs .",,,,,,,,,,,,,
"don ?t be moody ! I hope you ?re not tired , because we ?Ve been invited to a party this evening . I know how excited you get about parties .","Yes , the nearest one is at the third cross of this road .",Please wait a minute . I'll make out the duty memo ... Here you are.Take this and pay to the woman over there .,No I don't But l do Taijiquan or Shadow boxing.People everywhere in China usually do Taijiquan early in the morning.It can help people keep fit.It has a history of over three hundred years .,What is your nationality ?,"Oh yes , and fruit , I love fruit .",,,,,,,,,,,,,
How much is it all together ?,"Just walk down the road for a few minutes , and you'll find it on your right .",Very well . I hope you ' ll enjoy your stay in America .,Yes . it is I can teach you if you like .,Where is your domicile place ?,"Well , I never drink alcohol , coffee or tea . They are very bad for you .",,,,,,,,,,,,,
Is it possible for you to reduce the price ?,"So , this 500 RIB is worthless ?","Hello , Nancy , nice to see you .",Right . Let's help each other .,I know you have a son . How old is he ?,Yeah .,,,,,,,,,,,,,
This is the Bell Captain's Desk . May I help you ?,"Right , I see . Let me give you another 500 RIB .","Yes , I ?m satisfied with this job .",I'm not certain . Do you know ?,Who is looking after him ?,China .,,,,,,,,,,,,,
"I'm very sorry to hear that . May I have your name and room number , please ?",Thanks . Now can I make the full deposit ?,"Pay more attention to the external expressions , because they are important for the first impression . Good manner and style of conversation can let other feel your good self-cultivation . Good gestures and mien can let other feel very comfortable .",In a way that's right . But the Vikings travelled there long beforeColumbus . And what about the Red Indians ?,You really are lucky !,China beat Brazil 3 to 0 .,,,,,,,,,,,,,
And how many pieces did you have ?,Do we have to ?,"Don ?t worry about that . You just pay more attention to the details of people ?s action in life , and you will know how to transfer information by their body language .",Who invented the electric light bulb ?,"Say , what's your favorite sport ?",I wouldn't be so sure ... People want to wear what they feel most comfortable in .,,,,,,,,,,,,,
Is there a name tag attached to them ?,"It ?s not that bad , besides it really looks nice in that corner . It gives the room a good atmosphere .","Stupid girl , making me spend so much money , now I have to get it from the ATM ...",Correct . Now for a harder question . Who will be the first men on Mars ?,Do you play much tennis ?,"I think what you wear is so overrated . I would rather have a down-to-earth , honest and solid sales person than a painted , patent leather , designer suite salesman .",,,,,,,,,,,,,
We're very sorry for the delay . I'll check immediately and call you back .,But it makes the place feel so much like Christmas . I ?d really hate to have to take it down .,"I know where to put my card ! Stupid machine , talking to me like I ?m an idiot ...",Ask me a question now .,"Sorry . I'm strictly a spectator-football , baseball , basketball , golf ... I watch them all .","Maybe you're right , but I'll take my sneakers and jeans any day !",,,,,,,,,,,,,
Are you finished ?,"I know , but it seems like such a shame to have to take it away .","Yeah , yeah , I know what I selected . Just gimme my money !","That's easy . It's .. er . Venus . NO . Pluto . No . Wait a minute . It's Anthe tip of my tongue . Oh dear , what is the nearest planet to the sun ?","So Janet , do you do any sports ?",What do you mean ?,,,,,,,,,,,,,
"Oh , sure . I'll be back in a minute.Thank you for waiting . Here it is.Did you enjoy your meal ?","I know , I know . But it reminds me of the great Christmas we just had . All of us were here - - my parents , your parents , the kids , and the cousins - - the food was good , and everybody got what they wanted .","No , no ! Stupid machine , what are you doing ! No !",You bought a compact car ?,"Yeah , how often do you go ?","Yes , look over there . That's the Empire State Building . My book says it's 102 stories tall .",,,,,,,,,,,,,
Is that so ? I'm glad you enjoyed it .,"Ok , fine . We need to take down the tree .","No , no way ! What happened ? Give me my money !","Let me guess , from Sarah . It looks like something she would drive .",Not bad ! Do you do any other sports ?,"You're right , but when it was built in 1930 it was a marvel of technology and engineering .",,,,,,,,,,,,,
Toilets are in the rear . I'm afraid all the toilets are fully occupied at the moment .,"I'm ask for a pizza , please .","Joe , how are you doing ?",I love it . It's so festive ! And where did you get that cup ? It's got the same logo .,"Hello , Ken .",Quite a number . Actually every skyscraper has a history . A few blocks ahead we'll see St.Patrick ' s Cathedral and just across the street will be the world-renowed Rockefeller Center . It's a landmark in the history of architecture .,,,,,,,,,,,,,
You look fresh recently.How do you make it ?,"You're right , that is great .","I am doing great ! Thank you for asking , Joe .",Terrible ! Does he want to divorce ?,Have you just been to the cinema ?,"Well then , there's a Central Park . Facing the park on Fifth Avenue is probably some of the most expensive properties in the world .",,,,,,,,,,,,,
